guild_name,realm_name
Ball So Hard Gaming,Staghelm
Bursted Your Sister,Auchindoun
Hey im almost mvp,Tichondrius
Arctic Overload,Trollbane
korgath pvp,Korgath
Dont Worry Be Happy,Kel'Thuzad
Gnømelånd Sécurîty,Kel'Thuzad
PVE POWER,Sargeras
Catch Me If You Can,Illidan
FeelsWodMan,Sargeras
II Break Stuff II,Drakkari
Titan Corps,Wyrmrest Accord
monk is life,Frostmourne
Straight Out of Compton,Blackhand
Elitist,Perenolde
Vested Interests,Sargeras
Calm Down,Ysondre
New Lunar Republic,Burning Blade
Mælstrom,Terokkar
Edge of Reality,Kargath
The ORLY Factor,Deathwing
Faygo,Darkspear
Im Better Inc,Dalaran
Afflicted Souls,Llane
THE DREAM TEAM,Spinebreaker
SEA CREATURES,Coilfang
erps for days,Moon Guard
Cuz ì Play like a God,Nemesis
Full Time PvP,Kil'jaeden
oil lords of dubai,Darkspear
Ye Be Warned,Illidan
OH GOD IM PROCCING,Zuluhed
Eliteist Ego,Deathwing
Dedicated PVP,Sargeras
Symmetry,Korgath
Flash Out,Firetree
hay im mvp,Tichondrius
Right Click tø Attack,Kel'Thuzad
The Vagrants,Frostwolf
Rudy was offsides,Vek'nilash
Memento,Korgath
Shamrock Farms,Emerald Dream
Crit Happenz PvP,Kil'jaeden
Straightjacket Elitists,Sargeras
GIVE EM THE PEEN,Arthas
Critical Strike,Gurubashi
Lipgloss and Lollipops,Gundrak
from the trap,Darkspear
The Betrayed,Zul'jin
Terror Squad,Darkspear
BlackWater,Executus
its fine,Darkspear
Yolo to Glad,Sargeras
SUPRISE your poo brained,Mal'Ganis
Astral Raiders,Frostmourne
Elitish,Saurfang
Griefers Inc,Bleeding Hollow
Adrenalize,Frostmourne
The Dirty Dancer,Korgath
worship me peasants,Kel'Thuzad
Is Alwayshigh,Darkspear
Kick a Stick,Frostmourne
NSA here thx for nudes,Arygos
Pwnd,Tichondrius
BloodBound,Frostwolf
spaghetti,Korgath
Loose Lips Sink Ships,Kel'Thuzad
High Latency,Nemesis
Keyboard Turners,Hakkar
Unspeakable Onslaught,Kul Tiras
billionaire girls club,Maelstrom
hi,Stormreaver
Currently Online,Sargeras
Disparate,Sargeras
A Dream of Sovngarde,Moon Guard
Awesome Guild Name,Nemesis
Grave Encounters,Dragonmaw
Biscuit Front,Kel'Thuzad
Heroes of Your Weekend,Kel'Thuzad
NETH,Doomhammer
Alliance Guardians,Anvilmar
Myrmidon Legion,Tichondrius
The Lords Of KT,Kel'Thuzad
SOULLES,Sargeras
HEY LISTEN,Tichondrius
IMA WHALE OORAAROAOOAA,Darkspear
thotline bling,Tichondrius
Dauntless,Saurfang
Eternal Kingdom,Proudmoore
Transcend,Kel'Thuzad
cross the line,Kel'Thuzad
Assassins of Azeroth,Uldum
The Plague Doctors,Tichondrius
Propitious,Darkspear
Glazed Like A Doughnut,Tichondrius
lovebug,Kel'Thuzad
Seal Cub Clubbing Club,Twisting Nether
A R M A T A,Zul'jin
bESt dK in tHE MiLkyWay,Tichondrius
wod is fun and balanced,Sargeras
Horde To Death,Detheroc
OSOARROGANT,Darkspear
im da bes,Jubei'Thos
kite gods,Tichondrius
Psychotic Nation,Emerald Dream
Wussy Patrol,Spinebreaker
Gatunas,Nemesis
Trolling is a Art,Darkspear
LIVIN THE DREAM,Boulderfist
We Tamed You,Sargeras
Knights Templars,Ragnaros
Me and The Gang,Tichondrius
The Pub,Dunemaul
Union,Antonidas
hey im mvp,Tichondrius
Death Squâd,Ragnaros
Monopolizing,Icecrown
Irregardless,Greymane
Nexis,Arthas
Twenty One and Up,Darkspear
i want to die,Tichondrius
GGWP jk deep sheep,Nemesis
Yes,Emerald Dream
Couch Potato,Frostmourne
Last Breath,Drakkari
For Them,Ragnaros
Last Request,Sargeras
Killing in Action,Azralon
Stormwind Academy,Emerald Dream
House of Kinks,Moon Guard
Execution,Tichondrius
Thats What She Saíd,Zul'jin
Guild of Prefontaine,Kel'Thuzad
sup fresh my turn baby,Frostmourne
The Lost Order,Darkspear
Confederate Army,Tichondrius
Phuangpolchai,Darkspear
My PvP Is Bigger,Kel'Thuzad
Relativity,Proudmoore
ELITE ONLY,Scarlet Crusade
Chance,Darkspear
BAMF INC,Bleeding Hollow
Jamaican me crazy,Spirestone
S Q U A D,Dalaran
very best guild,Frostmourne
Top Tier,Korgath
Ballin on a Budget,Tichondrius
hey im korean,Frostmourne
who are you talkin to,Bleeding Hollow
Valiance,Tichondrius
Gods Of Death,Ragnaros
Yeezus,Kel'Thuzad
Critical Hit,Proudmoore
oG,Darkspear
WELCOME TO WORLD PVP,Magtheridon
tinfoil ur routers,Tichondrius
Gladiators,Nordrassil
Narcissistic Elitists,Drenden
Hidden In Your Closet,Tichondrius
do my dance,Darkspear
Realm First,Aerie Peak
Serious PVP,Darkspear
WTB RATING,Tichondrius
Reprieve,Nagrand
Technique,Emerald Dream
I like my girls BBW,Bladefist
Challenger Training Camp,Ysera
Impervious to Pain,Detheroc
Big Willy Syndrome,Kel'Thuzad
party rock,Area 52
Pathogen,Lightbringer
PVP WOWER ONLY,Tichondrius
Division VII,Emerald Dream
Red Sky,Nemesis
Ponquesitos de Athenea,Quel'Thalas
Goldshire FckBoys,Frostmourne
Ancient,Akama
USA USA USA USA USA USA,Moon Guard
Ouch Stop Hitting Me,Darkspear
Sparkle Motion,Kel'Thuzad
Elitism,Tichondrius
Ockhams Razor,Ghostlands
Blank,Frostmourne
Weapon X,Frostmourne
Edge,Black Dragonflight
Almost Challenger,Darkspear
Hordes Demise,Caelestrasz
Atleast we took Stables,Darkspear
Man of the Year,Tichondrius
B U C K F A R R Y,Kel'Thuzad
Well Timed RNG BRO,Lethon
Legends Never Dìe,Twisting Nether
DEATH RIDERS,Laughing Skull
Toad Explode,Kel'Thuzad
winter is coming,Frostmourne
Ganksters Pair of Dice,Stormreaver
No Mom You Cant Pause,Ner'zhul
pew pew pwn,Darkspear
Never Surrender,Darkspear
Viridian Might,Whisperwind
KT Blade PvP,Kul Tiras
Spice Girls,Illidan
Dysfunctional,Korgath
tteam,Llane
Retrospect,Skullcrusher
Muffins from Hell,Cairne
Tauren Tipping,Zuluhed
Utsukushi ishi,Tichondrius
We Might Be Raiders,Area 52
ARE YA DIZZY BLUD,Drakkari
High Value Targets,Cenarion Circle
Heroic Leaf,Bleeding Hollow
Sry babe Im on cooldown,Tichondrius
Horde Border Control,Darkspear
CPnG,Tichondrius
BOURNI AND FLO,Tichondrius
Semper Draconis,Blackhand
Top Shelf,Auchindoun
Warsong Vanguard,Tichondrius
Fun For Days,Arthas
Slay,Aegwynn
Like A Boss,Black Dragonflight
Seduction,Smolderthorn
Emerald Rain,Destromath
I LIKE GIRAFFES,Arathor
PainTrain,Lightning's Blade
Best Friends Forevers,Black Dragonflight
Warriors from Above,Illidan
Fallen Kings,Tichondrius
Back Off Kid,Tichondrius
Bellatores de Lumine,Quel'Thalas
All Star Rejects,Feathermoon
Overdosed On Confidence,Frostmourne
Légendáry,Darkspear
Old School Kargath,Kargath
is vegan,Tichondrius
The Grey Wardens,Bronzebeard
Transcendent,Tichondrius
CHEER SQUAD,Lightninghoof
Not Amazing Just Korean,Tichondrius
rank one in my moms eyes,Bleeding Hollow
Straight Outta Azeroth,Frostmourne
Tyrandes Silence,Darkspear
Vicious and Delicious,Darkspear
bad company,Emerald Dream
All Hail Mega Board,The Forgotten Coast
If Looks Could Kill,Frostwolf
Blades of Wrath,Icecrown
Ironblood,Blackrock
Rebelution Marihuna,Suramar
wompin,Illidan
MyHeartColdLikeBenNJerry,Tichondrius
Damage ìnc,Kil'jaeden
No Pity,Khadgar
Spectrum,Emerald Dream
Heavens Elite Council,Undermine
Stunning,Tichondrius
Sapphíre,Zuluhed
cloud nine,Tichondrius
ya,Blackrock
fashionista,Frostmourne
kenyan bowling squad,Area 52
EnterpriseE,Illidan
Legacy of Khan,Mannoroth
the lxxi,Tichondrius
Gamers League,Darkspear
Chocobo Knights,Nagrand
hashtag wod,Tichondrius
Cakes of Wrath,Icecrown
HORDES MINIONS,Frostmourne
Defenestrate,Blackrock
Heroes of the Fallen,Proudmoore
Pogo Stick Twerk Team,Mal'Ganis
Role play like a Hue,Nemesis
Fire Holinka,Ner'zhul
Severity Gaming,Kel'Thuzad
one lesson per day,Tichondrius
Propaganda,Proudmoore
Crusaders,Suramar
The Reckless,Darkspear
brb fish is drowning,Sargeras
Gorefiend Best Server,Gorefiend
Little Rascals,Khadgar
Plebians,Mal'Ganis
Sleeping Knights,Proudmoore
Rìvals,Kil'jaeden
bae or bye,Thunderhorn
ok,Mal'Ganis
Drunk Tank,Mannoroth
worst,Frostmourne
Kärma,Darkspear
Tempo Storm Rejects,Lethon
Straight Outta ShuHalo,Shu'halo
i dont ddos,Kel'Thuzad
retard mop warrior,Kel'Thuzad
Millionaire Club,Kel'Thuzad
Nice,Kel'Thuzad
S M O K E,Gilneas
Men At Work,Kel'Thuzad
Kill Or Be Killed,Korgath
IIX Bit Tavern,Darkspear
Alliance Vanguard,Bleeding Hollow
Dioses De La Tierra,Ragnaros
Hostile,Kil'jaeden
hard swapped ur mum,Baelgun
Diesel,Alterac Mountains
my friends quit the game,Bloodscalp
Casual Achievement,Area 52
PVP Legendary,Illidan
New Breed,Lightninghoof
t r u m p,Kel'Thuzad
ABAP,Arthas
Cest La Vie,Firetree
Prozac,Arthas
Psycho,Thaurissan
hey im xuena,Tichondrius
Midnight Vanguard,Tichondrius
Random Mayhem,Frostmourne
idiot club,Caelestrasz
BobRoss n Chill,Tichondrius
Not Something Stupid,Dalaran
West Coast Gaming,Kel'Thuzad
MINE MINE MINE,Illidan
Designation,Sargeras
Riddance,Bleeding Hollow
SHUT UP PVE GUY,Frostmourne
Haters Make Me Famous,Archimonde
Starbucks Coffee,Darkspear
Apex Gamers,Kel'Thuzad
Average Wanks,Tichondrius
Absolute Zero,Darkspear
One,Frostmourne
m is for meff,Frostmourne
elwynn n chill,Tichondrius
Equillibrium,Kel'Thuzad
from the streets,Kel'Thuzad
The Mercenary Outfit,Emerald Dream
SheitRatz,Lightbringer
worldstar,Bleeding Hollow
Hurricane,Illidan
Life,Darkspear
MLGesus,Proudmoore
The Hidden Rain,Akama
Devout,Sargeras
hey gurl wats yo realid,Kel'Thuzad
dont tell your mother,Emerald Dream
HATE DIVISION,Azralon
Wrathborne,Frostmourne
UCORP,Blade's Edge
Our Insanity,Nordrassil
Immortal Soldiers,Kil'jaeden
Nice Guys LF Good Time,Frostmourne
Kune n Friends,Thunderlord
Revolt,Kel'Thuzad
busy with ur girl,Tichondrius
ninety nine problems,Darkspear
Umbra,Suramar
Dark Clan of Fenris,The Venture Co
smokin blunts in traffic,Sargeras
Royal Militia,Kel'Thuzad
Casual Gladiator,Tichondrius
Plebs,Tichondrius
Kalimdor Surveying,Sen'jin
lets get weird,Emerald Dream
wow girls,Darkspear
Massacre Scene,Balnazzar
Ashran Mainteam,Argent Dawn
The Drunken Alliance,Illidan
Trinket Ready,Ragnaros
The One,Sargeras
Twenty Juan,Korialstrasz
Bloodshed,Frostmourne
CrossCC,Frostmourne
still loves her,Frostmourne
Leap of Faìth,Korgath
The Platinum Collection,Tichondrius
DISPELS,Darrowmere
xo,Sargeras
Poisoned,The Underbog
Opera non Verba,Terenas
Snäpped,Deathwing
xD,Thrall
Sÿnergic,Sargeras
edgy,Kil'jaeden
Storehouse,Barthilas
Poppin X like Malcolm,Bonechewer
Defaced by Mace,Barthilas
Thug Life,Frostmourne
I wish it was mop,Bleeding Hollow
YRN,Dalvengyr
michaeljjffopxxox,Korgath
dont inspect me,Sen'jin
Pleb,Kel'Thuzad
Defion,Kel'Thuzad
hey im glad,Tichondrius
Betrayer,Ragnaros
Dreaded,Kel'Thuzad
PVP POWrCOR OPrestNoMor,Wildhammer
Grammer Police,Moon Guard
Disband,Zul'jin
Blacklìsted,Sargeras
Legitimate,Area 52
